date,year,credit,maxloss,credit_put,credit_call,ret,spx_move,vix,spot,k_short,k_wing,exp_date
2011-11-03,2011,2.7723600788984726,111.12014371206807,3.7723600788984726,0.0,0.024949212503559637,-0.003227213257741113,30.5,1261.15,1090.31124431355,976.4187405225836,2011-12-05
2011-12-05,2011,2.390541364101722,99.601565345551,3.390541364101722,0.0,0.024001042110213207,0.019075953797689893,27.84,1257.08,1104.0918399355212,1002.0997332258685,2012-01-05
2012-01-06,2012,1.604419283742594,76.44938362583841,2.604419283742594,0.0,0.020986686977033146,0.054186459645800156,20.63,1277.81,1160.7292956356282,1082.6754927260472,2012-02-07
2012-05-21,2012,1.7704671129608087,81.26943467109967,2.7704671129608087,0.0,0.02178515354666798,0.031953130342935676,22.01,1315.99,1191.4301473239093,1108.3902455398488,2012-06-20
2012-06-21,2012,1.6342775321674026,77.31018256262871,2.6342775321674026,0.0,0.021139227434154355,0.011711189269387523,20.08,1327.79,1209.3733098578057,1130.4288497630096,2012-07-23
2015-09-02,2015,3.856670177403039,141.9764157701947,4.856670177403039,0.0,0.027164160726845698,0.0016925680873980387,26.09,1949.7,1730.9503710786034,1585.1172851310057,2015-10-02
2015-10-02,2015,2.976777337421396,116.20595435472077,3.976777337421396,0.0,0.025616392498569646,0.07491039426523316,20.94,1953.0,1774.2259024617863,1655.0431707696441,2015-11-02
2015-12-15,2015,3.1675819530169917,121.7336597707255,4.167581953016992,0.0,0.026020592488411588,-0.07865163046931911,20.95,2045.73,1858.378137414386,1733.4768956906435,2016-01-15
2016-01-22,2016,3.206060349279589,122.89902176194528,4.206060349279589,0.0,0.02608694766903605,0.005659793435898397,22.34,1906.43,1717.2723768331625,1591.1672947219377,2016-02-23
2016-02-23,2016,2.7833151145378707,110.59500068305844,3.7833151145378707,0.0,0.025166735361883626,0.06263756898008577,20.98,1917.22,1747.1525263036056,1633.7742105060092,2016-03-23
2018-02-21,2018,4.082070902775712,148.2180383447949,5.082070902775712,0.0,0.027540985890527846,-0.022850219350249,20.02,2698.88,2470.4298361286446,2318.129726881074,2018-03-22
2018-04-04,2018,3.9912925081682147,145.5880297844099,4.991292508168215,0.0,0.027414977138426916,-0.004430365391739688,20.06,2645.38,2421.011016561133,2271.431694268555,2018-05-03
2018-12-13,2018,4.480640530995828,159.7812125592906,5.480640530995828,0.0,0.028042349029822142,-0.015184332581109627,20.65,2645.49,2399.09722036457,2234.8353672742837,2019-01-15
2020-04-24,2020,8.900203311078641,292.84969068881543,9.900203311078641,0.0,0.030391711495902085,0.05672058553921211,35.93,2836.36,2383.735159000159,2081.985265000265,2020-05-26
2020-05-26,2020,6.8720329983376445,229.76744325022707,7.8720329983376445,0.0,0.02990864545963412,0.020819153621331576,28.01,2997.24,2642.280785627153,2405.641309378588,2020-06-24
2020-06-24,2020,8.797729461123481,288.03711466712844,9.797729461123481,0.0,0.030543735557449332,0.04964636362447883,33.84,3059.64,2614.3877338076227,2317.5528896793708,2020-07-24
2020-07-24,2020,7.053220799492081,234.79353141090445,8.053220799492081,0.0,0.03004009845206711,0.06818535655791313,25.84,3211.54,2848.7698716844047,2606.923119474008,2020-08-24
2020-09-09,2020,8.166030544825162,267.56733860783356,9.166030544825162,0.0,0.03051953421263385,0.017500044177156227,28.81,3395.42,2981.8199462710127,2706.086577118354,2020-10-08
2020-10-08,2020,7.549857414895968,249.150168102231,8.549857414895968,0.0,0.030302437571698204,0.017760590939088328,26.36,3454.84,3069.78996172431,2813.089936207183,2020-11-06
2020-11-06,2020,7.621920940648067,251.20130794136372,8.621920940648067,0.0,0.03034188397787802,0.053768272566975917,24.86,3516.2,3127.965156676982,2869.1419277949703,2020-12-08
2020-12-17,2020,7.309621060094443,241.85088117913693,8.309621060094443,0.0,0.030223669330690872,0.03403794649452929,21.93,3722.61,3348.869246641153,3099.7087444019216,2021-01-20
2021-01-20,2021,6.946021027022937,231.20346669866575,7.946021027022937,0.0,0.030042893068190406,0.013823220724699326,21.58,3849.32,3492.095768411468,3253.946280685779,2021-02-19
2021-03-01,2021,7.574251383435907,249.4873575227382,8.574251383435907,0.0,0.03035925931736077,0.01371844667651545,23.35,3905.69,3520.097586640739,3263.0359777345648,2021-03-30
2021-05-13,2021,8.399145098614497,273.49009615401707,9.399145098614497,0.0,0.030710966198514492,0.03385819693439496,23.13,4115.99,3693.156138121052,3411.2668968684206,2021-06-14
2021-09-22,2021,7.63111882311415,251.02490192669865,8.63111882311415,0.0,0.030399847841958327,0.03258424666413462,20.87,4396.91,4008.9259688752813,3750.2699481254685,2021-10-21
2021-11-29,2021,9.232371814351552,297.54099965858865,10.232371814351552,0.0,0.031028906352217587,0.028325347763861863,22.96,4660.49,4200.32994279059,3893.55657131765,2021-12-29
2022-01-28,2022,11.052807512706096,351.6051171556003,12.052807512706096,0.0,0.03143528627262485,-0.026065414207931625,27.66,4428.09,3884.10311299754,3521.4451883292336,2022-03-01
2022-03-09,2022,11.959245137005453,379.5129216705681,12.959245137005453,0.0,0.03151208945498446,0.05150587630552117,32.45,4279.9,3692.6917497886393,3301.2195829810657,2022-04-07
2022-04-13,2022,8.275158937639105,269.72118388103337,9.275158937639105,0.0,-0.008343159413631392,-0.0962024860709817,21.82,4443.96,4026.965485771992,3748.9691429533195,2022-05-13
2022-05-13,2022,10.221899507565212,327.7047809609023,11.221899507565212,0.0,0.031192402740028265,-0.06442770214418736,28.87,4016.44,3509.5499792972983,3171.6232988288307,2022-06-13
2022-06-15,2022,9.523609044719564,307.29986890059047,10.523609044719564,0.0,0.030991256451854816,-0.0004321794493401532,29.62,3794.72,3319.4847830820345,3002.6613051367244,2022-07-14
2022-07-15,2022,8.093632990312045,264.72733033857185,9.093632990312045,0.0,0.0305734696147947,0.1109903250353299,24.23,3863.58,3454.348555006675,3181.527591677791,2022-08-15
2022-09-08,2022,7.900385349739736,258.9614251926778,8.900385349739736,0.0,0.030507962117761474,-0.09244277969246428,23.61,4009.94,3609.6472841863733,3342.785473643956,2022-10-07
2022-10-20,2022,9.286349805534229,300.5111015020973,10.286349805534229,0.0,0.03090185274060306,0.08121909105539804,29.98,3666.01,3201.313823038553,2891.5163717309215,2022-11-18
2022-11-18,2022,7.90649104717086,259.16626931087313,8.90649104717086,0.0,0.03050740772784334,-0.03787313056289998,23.12,3963.76,3563.1508594629336,3296.0780991048896,2022-12-19
2022-12-19,2022,7.311718883870725,241.86629337760886,8.311718883870725,0.0,0.030230416904167178,0.024123934089216537,22.42,3813.64,3439.8729816077807,3190.694969346301,2023-01-19
2023-03-01,2023,6.654324236015441,222.72795504754583,7.654324236015441,0.0,0.02987646626843469,0.024801288746481687,20.58,3954.23,3610.156581074658,3380.7743017910966,2023-03-30
2024-08-08,2024,10.903797662889957,346.0322583803743,11.903797662889957,0.0,0.03151092824098501,0.013445829669875398,23.79,5322.84,4787.435915935104,4430.49985989184,2024-09-06
2024-12-19,2024,13.172821987937255,412.17815711695187,14.172821987937255,0.0,0.031959049164751306,0.03187226571347335,24.09,5872.19,5234.163531342665,4808.812552237776,2025-01-21
2025-03-14,2025,10.901553637071345,345.83578612887624,11.901553637071345,0.0,0.03152234116399066,-0.03961699070220748,21.77,5622.84,5087.73399035108,4730.996650585133,2025-04-14
2025-04-25,2025,12.33014208157698,387.72700651977624,13.33014208157698,0.0,0.03180109168110804,0.06338938027475804,24.84,5526.32,4926.2342770979685,4526.177128496615,2025-05-26
2025-10-17,2025,12.483329359406355,391.60019544169353,13.483329359406355,0.0,0.031877740370701714,0.00038366199378359056,20.78,6672.54,6066.41471279835,5662.33118799725,2025-11-17
2025-11-21,2025,14.057640775330782,437.52175805499405,15.057640775330782,0.0,0.03213015242447397,0.03969341220302902,23.43,6613.44,5936.070901754511,5484.4915029241865,2025-12-22
2026-03-04,2026,13.58482759490505,423.58611285483187,14.58482759490505,0.0,0.0320709937900177,-0.03826118327167882,21.15,6874.33,6218.573589325394,5781.402648875657,2026-04-06
2026-04-06,2026,14.019280123222984,436.399757733357,15.019280123222984,0.0,0.03212485771311737,0.09983800487346683,24.17,6611.31,5935.6814432151305,5485.2624053585505,2026-05-05
