date,year,credit,maxloss,credit_put,credit_call,ret,spx_move,vix,spot,k_short,k_wing,exp_date
2008-11-21,2008,3.6742862230407374,168.46896053883745,4.674286223040737,0.0,0.02180987056184571,0.07890954089221647,72.67,800.03,541.8151298571828,369.6718830953046,2008-12-23
2008-12-23,2008,2.7753219189942104,115.8260801916547,3.7753219189942104,0.0,0.023961114063447114,-0.03080541266972514,45.02,863.16,685.2578968340265,566.6564947233776,2009-01-26
2009-01-26,2009,2.51486071117996,107.06673987538305,3.51486071117996,0.0,0.023488720344964763,-0.08567125285391552,45.69,836.57,672.1975991201555,562.6159985335925,2009-02-25
2009-02-25,2009,2.106249324968932,94.20414923870459,3.106249324968932,0.0,0.022358349839048927,0.08884821545300037,44.67,764.9,620.4344021544898,524.1240035908163,2009-03-26
2009-03-26,2009,2.230424954827921,97.29905138568148,3.230424954827921,0.0,0.022923398769704246,0.02959681098864153,40.36,832.86,683.5657854892357,584.0363091487263,2009-04-27
2009-05-05,2009,1.855333325833083,84.58423195819474,2.855333325833083,0.0,0.02193474224309409,0.042774950210223484,33.36,903.8,774.1406520739582,687.7010867899304,2009-06-04
2009-06-09,2009,1.539241232339542,74.84242111753511,2.539241232339542,0.0,0.020566427560143527,-0.06339993421262058,28.27,942.43,827.857506475188,751.4758441253133,2009-07-09
2009-07-13,2009,1.2257137401144114,65.59672258166428,2.2257137401144114,0.0,0.01868559421682182,0.10354586315964709,26.31,901.05,800.8163455173321,733.9939091955534,2009-08-11
2009-08-20,2009,1.4925987232810982,73.34472211481949,2.492598723281098,0.0,0.02035045849576564,0.05687086174891065,25.09,1007.37,895.1140187428491,820.2766979047485,2009-09-21
2009-10-06,2009,1.5458405585119834,74.85935143976594,2.5458405585119834,0.0,0.02064993255726791,-0.007793537621359259,25.7,1054.72,940.1122120025831,863.7070200043051,2009-11-04
2009-11-05,2009,1.6743547613349392,78.6391746502403,2.674354761334939,0.0,0.021291611576315327,0.034332430177287154,25.43,1066.63,946.1597058826372,865.846176471062,2009-12-07
2009-12-07,2009,1.3703959055873582,69.68558260614732,2.3703959055873582,0.0,0.0196654150591326,0.03484251076365297,22.1,1103.25,996.6660322323979,925.6100537206632,2010-01-07
2010-01-26,2010,1.5623194072178919,75.30751307595807,2.562319407217892,0.0,0.02074586377114958,0.009861102209363093,24.55,1092.17,976.8652512752362,899.9954187920603,2010-02-25
2010-02-25,2010,1.0851766463901313,61.40338260159407,2.0851766463901313,0.0,0.017672913126482375,0.05770939489002114,20.1,1102.94,1009.2071611280237,946.7186018800395,2010-03-26
2010-05-03,2010,1.3221802726421004,68.2681523252406,2.3221802726421004,0.0,0.01936745360183498,-0.08640393924775003,20.19,1202.26,1097.874501103176,1028.2841685052933,2010-06-02
2010-06-02,2010,2.100807212628041,91.30642280020803,3.100807212628041,0.0,0.02300831801531551,-0.06464975691472918,30.17,1098.38,958.269154980746,864.8619249679099,2010-07-01
2010-07-02,2010,2.0221954618252838,89.1748605527589,3.0221954618252838,0.0,0.02267674375143972,0.09571867237771126,30.12,1022.58,885.7844159781234,794.5873599635393,2010-08-03
2010-08-03,2010,1.3843871671752197,70.08720840997248,2.3843871671752197,0.0,0.019752351371698233,-0.0358513467682916,22.63,1120.46,1013.2526066342788,941.7810110571311,2010-09-01
2010-09-01,2010,1.4670632840617799,72.5225403558356,2.46706328406178,0.0,0.020229066395958523,0.06104842218293238,23.89,1080.29,969.3055945401538,895.3159909002565,2010-10-01
2010-10-08,2010,1.346526522204421,68.97630564260064,2.346526522204421,0.0,0.019521580775598818,0.04986482427155292,20.71,1165.15,1059.6657517527926,989.3429195879876,2010-11-08
2011-03-17,2011,2.153310971716145,92.52198351990725,3.153310971716145,0.0,0.023273506358116865,0.036083283610212735,26.37,1273.72,1131.707058262565,1037.0317637709416,2011-04-15
2011-08-09,2011,2.8819963333962946,114.97356213515715,3.8819963333962946,0.0,0.02506660035468297,0.011402693321279633,35.06,1172.53,995.74666229717,877.8911038286166,2011-09-08
2011-09-08,2011,2.7872748705491865,111.93504352397663,3.7872748705491865,0.0,0.024900824467470266,-0.02566826882536477,34.32,1185.9,1013.8165224082113,899.0942040136855,2011-10-07
2011-10-07,2011,3.001921989245954,118.89644869089464,4.001921989245954,0.0,0.025248205663823565,0.09144410018520754,36.2,1155.46,972.6124439797893,850.7140732996487,2011-11-07
2011-11-07,2011,2.581937850477452,105.34129440165447,3.581937850477452,0.0,0.024510215724450987,-8.72240548083214e-05,29.85,1261.12,1099.2351516218023,991.3119193696704,2011-12-07
