entry_ts,exit_ts,entry_i,year,days,units,entry_px,gross,net
2017-03-09 00:00:00+00:00,2017-03-12 00:00:00+00:00,2553,2017,3,1,2363.73,0.0030248801682086768,0.002143486671489508
2017-03-15 00:00:00+00:00,2017-03-16 00:00:00+00:00,2558,2017,1,1,2366.87,0.00718670649423081,0.006611429804387731
2017-03-20 00:00:00+00:00,2017-03-29 00:00:00+00:00,2562,2017,9,2,2376.32,-0.001350708655015076,-0.0029968165837259975
2017-04-06 00:00:00+00:00,2017-04-07 00:00:00+00:00,2575,2017,1,1,2348.11,0.004263003010932076,0.003684350806487745
2017-04-10 00:00:00+00:00,2017-04-21 00:00:00+00:00,2577,2017,11,2,2355.24,0.006234801019786684,0.0046619003091557315
2017-05-18 00:00:00+00:00,2017-05-23 00:00:00+00:00,2604,2017,5,1,2356.4700000000003,0.016229784380874746,0.015041531931236092
2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,2622,2017,1,1,2428.6800000000003,0.004755669746528968,0.004191145670350413
2017-06-23 00:00:00+00:00,2017-06-27 00:00:00+00:00,2630,2017,4,1,2434.05,0.0017871448819868352,0.0007651958669707098
2017-06-30 00:00:00+00:00,2017-07-06 00:00:00+00:00,2635,2017,6,1,2423.2,0.0027731924727634194,0.001443848354792692
2017-07-07 00:00:00+00:00,2017-07-11 00:00:00+00:00,2640,2017,4,1,2411.59,0.005863351564735275,0.004837576269413747
2017-07-31 00:00:00+00:00,2017-08-02 00:00:00+00:00,2656,2017,2,1,2473.8900000000003,0.0012247917247734108,0.0005150144778734544
2017-08-04 00:00:00+00:00,2017-08-07 00:00:00+00:00,2660,2017,3,1,2473.36,0.0008773490312772303,1.4707388599523308e-05
2017-08-09 00:00:00+00:00,2017-08-10 00:00:00+00:00,2663,2017,1,1,2472.41,0.0014358459964165515,0.000878604557676393
2017-08-11 00:00:00+00:00,2017-08-15 00:00:00+00:00,2665,2017,4,1,2436.26,0.012043049592407984,0.011021473260015072
2017-08-18 00:00:00+00:00,2017-08-23 00:00:00+00:00,2670,2017,5,1,2427.69,0.010845701057383694,0.009669897961985738
2017-09-06 00:00:00+00:00,2017-09-07 00:00:00+00:00,2683,2017,1,1,2460.825,0.0013633639125092412,0.0008042183515693125
2017-09-11 00:00:00+00:00,2017-09-12 00:00:00+00:00,2686,2017,1,1,2470.88,0.007216052580457211,0.006658560692726703
2017-09-26 00:00:00+00:00,2017-09-28 00:00:00+00:00,2697,2017,2,2,2500.19,0.0025154380749207172,0.0018860880100907062
2017-10-10 00:00:00+00:00,2017-10-11 00:00:00+00:00,2707,2017,1,1,2545.1800000000003,0.0021118349193376407,0.0015661576216830762
2017-10-24 00:00:00+00:00,2017-10-25 00:00:00+00:00,2717,2017,1,1,2564.95,0.0007641474492681155,0.00022149852390461477
2017-10-26 00:00:00+00:00,2017-10-27 00:00:00+00:00,2719,2017,1,1,2562.1000000000004,0.00063229382147445,8.921121562594902e-05
2017-11-10 00:00:00+00:00,2017-11-17 00:00:00+00:00,2731,2017,7,2,2583.865,0.004082997362982677,0.0030834565551764335
2017-12-01 00:00:00+00:00,2017-12-04 00:00:00+00:00,2746,2017,3,1,2640.02,0.007401459079855677,0.0065643407373178675
2017-12-05 00:00:00+00:00,2017-12-06 00:00:00+00:00,2748,2017,1,1,2636.07,-0.003406586319786631,-0.003938716694422611
2017-12-28 00:00:00+00:00,2017-12-29 00:00:00+00:00,2764,2017,1,1,2679.74,0.0016568771597247345,0.0011309288504774858
2018-01-02 00:00:00+00:00,2018-01-03 00:00:00+00:00,2766,2018,1,1,2675.2,0.007034988038277623,0.006508406432748649
2018-01-17 00:00:00+00:00,2018-01-18 00:00:00+00:00,2777,2018,1,1,2781.66,0.006920328149378374,0.00640805280539912
2018-01-19 00:00:00+00:00,2018-01-22 00:00:00+00:00,2779,2018,3,1,2795.6000000000004,0.0029975676062381496,0.002181529307959903
2018-01-30 00:00:00+00:00,2018-02-14 00:00:00+00:00,2786,2018,15,3,2852.94,-0.02826770778450116,-0.030262156565735946
2018-02-22 00:00:00+00:00,2018-02-23 00:00:00+00:00,2803,2018,1,1,2699.13,0.005173889364350703,0.00465062183617187
2018-03-01 00:00:00+00:00,2018-03-08 00:00:00+00:00,2808,2018,7,1,2718.1400000000003,0.0016113960281662898,0.00017405294715419238
2018-03-15 00:00:00+00:00,2018-03-16 00:00:00+00:00,2819,2018,1,1,2753.45,1.815903684465603e-05,-0.0004977994778268368
2018-03-18 00:00:00+00:00,2018-04-03 00:00:00+00:00,2821,2018,16,3,2750.33,-0.04358276392935886,-0.046041059479403255
2018-04-25 00:00:00+00:00,2018-04-27 00:00:00+00:00,2848,2018,2,1,2635.75,0.015392203357678103,0.014707249148987765
2018-05-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2873,2018,1,1,2694.1800000000003,0.009795188146300537,0.009271239919629219
2018-06-01 00:00:00+00:00,2018-06-04 00:00:00+00:00,2875,2018,3,1,2707.61,0.008265592164307112,0.00743792942238096
2018-06-20 00:00:00+00:00,2018-07-03 00:00:00+00:00,2888,2018,13,1,2761.95,-0.013041510526982547,-0.015389684673268083
2018-07-31 00:00:00+00:00,2018-08-01 00:00:00+00:00,2917,2018,1,1,2804.88,0.0067453866119049355,0.006236087343011673
2018-08-13 00:00:00+00:00,2018-08-15 00:00:00+00:00,2926,2018,2,1,2832.75,0.003000617774247649,0.0023420483628982538
2018-08-16 00:00:00+00:00,2018-08-20 00:00:00+00:00,2929,2018,4,1,2821.0600000000004,0.010868255194855792,0.009902667397676323
2018-08-31 00:00:00+00:00,2018-09-03 00:00:00+00:00,2940,2018,3,1,2897.34,0.0030510744337910456,0.002247596933739274
2018-09-06 00:00:00+00:00,2018-09-12 00:00:00+00:00,2944,2018,6,2,2887.205,0.0033768739496087274,0.002418541169362573
2018-09-26 00:00:00+00:00,2018-09-28 00:00:00+00:00,2958,2018,2,1,2917.55,-5.8268067385292e-05,-0.000706576960501472
2018-10-05 00:00:00+00:00,2018-10-17 00:00:00+00:00,2965,2018,12,3,2906.11,-0.02840665283193729,-0.030228836083772814
2019-03-07 00:00:00+00:00,2019-03-12 00:00:00+00:00,3073,2019,5,3,2769.99,0.014255921126573293,0.013332669223725979
2019-03-25 00:00:00+00:00,2019-04-01 00:00:00+00:00,3087,2019,7,1,2802.3500000000004,0.014145270933323628,0.012718983125273638
2019-04-18 00:00:00+00:00,2019-04-22 00:00:00+00:00,3105,2019,4,1,2897.57,0.0027091666465348663,0.001752938765164538
2019-04-26 00:00:00+00:00,2019-04-29 00:00:00+00:00,3110,2019,3,1,2921.78,0.005465846162270971,0.004665255711700885
2019-05-02 00:00:00+00:00,2019-05-06 00:00:00+00:00,3114,2019,4,1,2914.73,-0.0029848390760035537,-0.003939035138379447
2019-05-07 00:00:00+00:00,2019-05-17 00:00:00+00:00,3117,2019,10,1,2911.3500000000004,-0.011609734315695563,-0.013480995357251314
2019-05-29 00:00:00+00:00,2019-06-05 00:00:00+00:00,3133,2019,7,2,2803.52,0.005327262594326365,0.003975933156241284
2019-06-26 00:00:00+00:00,2019-06-28 00:00:00+00:00,3153,2019,2,1,2917.88,0.0036499102087816926,0.0030016400796316093
2019-07-18 00:00:00+00:00,2019-07-19 00:00:00+00:00,3169,2019,1,1,2977.57,0.0077949468862192894,0.0073063247790050925
2019-07-22 00:00:00+00:00,2019-07-24 00:00:00+00:00,3171,2019,2,1,2972.28,0.009760184101094138,0.009118186487589802
