ts,open,high,low,close,volume
2012-09-05 00:00:00+00:00,1405.0700000000002,1409.2,1398.4499999999998,1405.38,0
2012-09-06 00:00:00+00:00,1405.38,1433.8000000000002,1404.26,1433.3,0
2012-09-07 00:00:00+00:00,1432.8000000000002,1439.35,1431.4299999999998,1438.7199999999998,0
2012-09-10 00:00:00+00:00,1437.85,1438.6,1424.9499999999998,1426.2,0
2012-09-11 00:00:00+00:00,1426.4499999999998,1438.08,1422.33,1430.32,0
2012-09-12 00:00:00+00:00,1430.3200000000002,1440.25,1428.9499999999998,1438.62,0
2012-09-13 00:00:00+00:00,1439.0,1464.23,1435.2,1458.09,0
2012-09-14 00:00:00+00:00,1458.4699999999998,1474.72,1457.9699999999998,1466.27,0
2012-09-17 00:00:00+00:00,1465.15,1465.7,1457.4,1460.24,0
2012-09-18 00:00:00+00:00,1460.74,1462.87,1455.87,1461.46,0
2012-09-19 00:00:00+00:00,1461.0900000000001,1465.8400000000001,1457.2800000000002,1458.53,0
2012-09-20 00:00:00+00:00,1458.2800000000002,1461.77,1449.66,1461.02,0
2012-09-21 00:00:00+00:00,1461.27,1468.15,1457.48,1458.6,0
2012-09-24 00:00:00+00:00,1457.98,1461.23,1451.68,1459.69,0
2012-09-25 00:00:00+00:00,1459.8200000000002,1463.57,1441.68,1444.75,0
2012-09-26 00:00:00+00:00,1444.5,1445.88,1430.38,1435.66,0
2012-09-27 00:00:00+00:00,1435.9099999999999,1450.38,1435.29,1447.24,0
2012-09-28 00:00:00+00:00,1447.49,1449.37,1435.12,1440.52,0
2012-10-01 00:00:00+00:00,1439.4,1457.4,1433.9,1442.93,0
2012-10-02 00:00:00+00:00,1442.6799999999998,1451.81,1438.38,1446.43,0
2012-10-03 00:00:00+00:00,1446.1799999999998,1454.43,1441.06,1452.53,0
2012-10-04 00:00:00+00:00,1452.4099999999999,1463.41,1450.9099999999999,1461.03,0
2012-10-05 00:00:00+00:00,1461.2800000000002,1471.16,1456.66,1460.7800000000002,0
2012-10-08 00:00:00+00:00,1461.9099999999999,1462.4099999999999,1452.91,1454.92,0
2012-10-09 00:00:00+00:00,1454.5500000000002,1459.5500000000002,1440.44,1442.06,0
2012-10-10 00:00:00+00:00,1441.81,1442.69,1426.5700000000002,1427.07,0
2012-10-11 00:00:00+00:00,1427.5700000000002,1444.13,1426.1999999999998,1435.72,0
2012-10-12 00:00:00+00:00,1435.4699999999998,1439.6,1425.1,1426.71,0
2012-10-15 00:00:00+00:00,1428.3400000000001,1441.34,1421.5900000000001,1440.71,0
2012-10-16 00:00:00+00:00,1440.46,1456.23,1439.5900000000001,1455.73,0
